code	province	name	description
00070	Thành phố Hà Nội	Phường Hoàn Kiếm	Mã số: 00070
00073	Thành phố Hà Nội	Phường Cửa Nam	Mã số: 00073
00004	Thành phố Hà Nội	Phường Ba Đình	Mã số: 00004
00008	Thành phố Hà Nội	Phường Ngọc Hà	Mã số: 00008
00025	Thành phố Hà Nội	Phường Giảng Võ	Mã số: 00025
00256	Thành phố Hà Nội	Phường Hai Bà Trưng	Mã số: 00256
00283	Thành phố Hà Nội	Phường Vĩnh Tuy	Mã số: 00283
00277	Thành phố Hà Nội	Phường Bạch Mai	Mã số: 00277
00235	Thành phố Hà Nội	Phường Đống Đa	Mã số: 00235
00226	Thành phố Hà Nội	Phường Kim Liên	Mã số: 00226
00196	Thành phố Hà Nội	Phường Văn Miếu - Quốc Tử Giám	Mã số: 00196
00187	Thành phố Hà Nội	Phường Láng	Mã số: 00187
00190	Thành phố Hà Nội	Phường Ô Chợ Dừa	Mã số: 00190
00097	Thành phố Hà Nội	Phường Hồng Hà	Mã số: 00097
00328	Thành phố Hà Nội	Phường Lĩnh Nam	Mã số: 00328
00319	Thành phố Hà Nội	Phường Hoàng Mai	Mã số: 00319
00304	Thành phố Hà Nội	Phường Vĩnh Hưng	Mã số: 00304
00313	Thành phố Hà Nội	Phường Tương Mai	Mã số: 00313
00316	Thành phố Hà Nội	Phường Định Công	Mã số: 00316
00337	Thành phố Hà Nội	Phường Hoàng Liệt	Mã số: 00337
00331	Thành phố Hà Nội	Phường Yên Sở	Mã số: 00331
00367	Thành phố Hà Nội	Phường Thanh Xuân	Mã số: 00367
00364	Thành phố Hà Nội	Phường Khương Đình	Mã số: 00364
00352	Thành phố Hà Nội	Phường Phương Liệt	Mã số: 00352
00167	Thành phố Hà Nội	Phường Cầu Giấy	Mã số: 00167
00160	Thành phố Hà Nội	Phường Nghĩa Đô	Mã số: 00160
00175	Thành phố Hà Nội	Phường Yên Hòa	Mã số: 00175
00103	Thành phố Hà Nội	Phường Tây Hồ	Mã số: 00103
00091	Thành phố Hà Nội	Phường Phú Thượng	Mã số: 00091
00613	Thành phố Hà Nội	Phường Tây Tựu	Mã số: 00613
00619	Thành phố Hà Nội	Phường Phú Diễn	Mã số: 00619
00611	Thành phố Hà Nội	Phường Xuân Đỉnh	Mã số: 00611
00602	Thành phố Hà Nội	Phường Đông Ngạc	Mã số: 00602
00598	Thành phố Hà Nội	Phường Thượng Cát	Mã số: 00598
00592	Thành phố Hà Nội	Phường Từ Liêm	Mã số: 00592
00622	Thành phố Hà Nội	Phường Xuân Phương	Mã số: 00622
00634	Thành phố Hà Nội	Phường Tây Mỗ	Mã số: 00634
00637	Thành phố Hà Nội	Phường Đại Mỗ	Mã số: 00637
00148	Thành phố Hà Nội	Phường Long Biên	Mã số: 00148
00130	Thành phố Hà Nội	Phường Bồ Đề	Mã số: 00130
00127	Thành phố Hà Nội	Phường Việt Hưng	Mã số: 00127
00136	Thành phố Hà Nội	Phường Phúc Lợi	Mã số: 00136
09556	Thành phố Hà Nội	Phường Hà Đông	Mã số: 09556
09886	Thành phố Hà Nội	Phường Dương Nội	Mã số: 09886
09562	Thành phố Hà Nội	Phường Yên Nghĩa	Mã số: 09562
09568	Thành phố Hà Nội	Phường Phú Lương	Mã số: 09568
09552	Thành phố Hà Nội	Phường Kiến Hưng	Mã số: 09552
00640	Thành phố Hà Nội	Xã Thanh Trì	Mã số: 00640
00664	Thành phố Hà Nội	Xã Đại Thanh	Mã số: 00664
00685	Thành phố Hà Nội	Xã Nam Phù	Mã số: 00685
00679	Thành phố Hà Nội	Xã Ngọc Hồi	Mã số: 00679
00646	Thành phố Hà Nội	Phường Thanh Liệt	Mã số: 00646
10231	Thành phố Hà Nội	Xã Thượng Phúc	Mã số: 10231
10183	Thành phố Hà Nội	Xã Thường Tín	Mã số: 10183
10237	Thành phố Hà Nội	Xã Chương Dương	Mã số: 10237
10210	Thành phố Hà Nội	Xã Hồng Vân	Mã số: 10210
10273	Thành phố Hà Nội	Xã Phú Xuyên	Mã số: 10273
10279	Thành phố Hà Nội	Xã Phượng Dực	Mã số: 10279
10330	Thành phố Hà Nội	Xã Chuyên Mỹ	Mã số: 10330
10333	Thành phố Hà Nội	Xã Đại Xuyên	Mã số: 10333
10114	Thành phố Hà Nội	Xã Thanh Oai	Mã số: 10114
10141	Thành phố Hà Nội	Xã Bình Minh	Mã số: 10141
10144	Thành phố Hà Nội	Xã Tam Hưng	Mã số: 10144
10180	Thành phố Hà Nội	Xã Dân Hòa	Mã số: 10180
10354	Thành phố Hà Nội	Xã Vân Đình	Mã số: 10354
10369	Thành phố Hà Nội	Xã Ứng Thiên	Mã số: 10369
10417	Thành phố Hà Nội	Xã Hòa Xá	Mã số: 10417
10402	Thành phố Hà Nội	Xã Ứng Hòa	Mã số: 10402
